,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
21m TTC,50.57,49.52,42.17,41.07,34.66,33.59,28.28,27.33,23.06,22.25,18.84,18.24,15.47,15.04,12.78,12.5,10.66,10.47,8.95,8.85,7.56,7.52,6.43,6.43,5.51,5.52,4.75,4.77,4.12,4.15,3.6,3.62,3.15,3.18,2.77,2.8,2.45,2.47,2.17,2.2,1.93,1.96,1.72,1.76,1.54,1.58,1.38,1.42,1.24,1.28,1.11,1.16,1.01,1.05,0.92,0.95,0.83,0.86,0.76,0.79,0.69,0.72,0.63,0.66,0.57,0.61,0.52,0.56,0.44,0.47,0.41,0.44,0.37,0.4,0.35,0.38,0.32,0.35,0.29,0.32
22m TTC,50.6,49.49,42.38,41.26,34.98,33.88,28.65,27.7,23.47,22.66,19.28,18.65,15.9,15.43,13.18,12.87,11.02,10.82,9.28,9.15,7.87,7.8,6.7,6.68,5.75,5.75,4.97,4.99,4.33,4.34,3.78,3.8,3.32,3.34,2.92,2.95,2.58,2.61,2.29,2.32,2.04,2.07,1.82,1.85,1.63,1.66,1.46,1.5,1.32,1.36,1.19,1.23,1.08,1.12,0.98,1.01,0.89,0.92,0.81,0.84,0.73,0.77,0.67,0.7,0.61,0.65,0.56,0.59,0.47,0.5,0.43,0.47,0.4,0.43,0.37,0.4,0.34,0.37,0.32,0.35
23m TTC,50.63,49.46,42.53,41.39,35.27,34.14,29.02,28.04,23.87,23.04,19.66,19.03,16.28,15.82,13.54,13.23,11.37,11.14,9.6,9.45,8.16,8.07,6.97,6.93,5.99,5.99,5.19,5.2,4.53,4.54,3.96,3.98,3.47,3.5,3.07,3.09,2.71,2.75,2.41,2.44,2.16,2.18,1.93,1.95,1.72,1.75,1.55,1.58,1.39,1.43,1.26,1.3,1.14,1.18,1.04,1.07,0.94,0.98,0.86,0.89,0.78,0.82,0.71,0.75,0.65,0.69,0.59,0.63,0.5,0.54,0.46,0.5,0.43,0.46,0.39,0.43,0.36,0.4,0.34,0.37
24m TTC,50.67,49.41,42.73,41.53,35.53,34.4,29.36,28.37,24.24,23.4,20.04,19.39,16.64,16.16,13.9,13.56,11.7,11.45,9.9,9.73,8.43,8.34,7.23,7.17,6.24,6.2,5.42,5.4,4.71,4.73,4.14,4.15,3.64,3.65,3.22,3.24,2.85,2.87,2.53,2.56,2.27,2.29,2.03,2.05,1.82,1.85,1.64,1.66,1.48,1.5,1.33,1.36,1.2,1.24,1.09,1.13,0.99,1.03,0.91,0.94,0.83,0.86,0.76,0.79,0.69,0.73,0.63,0.67,0.53,0.57,0.49,0.53,0.46,0.49,0.42,0.45,0.39,0.42,0.36,0.39
25m TTC,50.69,49.39,42.87,41.65,35.78,34.62,29.67,28.66,24.59,23.74,20.4,19.73,17.0,16.48,14.24,13.87,12.01,11.75,10.2,10.03,8.7,8.6,7.49,7.41,6.46,6.43,5.62,5.61,4.92,4.91,4.31,4.32,3.8,3.82,3.36,3.38,2.98,3.0,2.65,2.68,2.37,2.39,2.13,2.14,1.91,1.93,1.72,1.74,1.56,1.57,1.41,1.43,1.27,1.3,1.15,1.19,1.05,1.09,0.96,1.0,0.87,0.91,0.8,0.83,0.73,0.77,0.67,0.71,0.57,0.61,0.52,0.56,0.48,0.52,0.45,0.49,0.41,0.45,0.39,0.42
26m TTC,50.7,49.38,43.02,41.77,36.0,34.83,29.98,28.96,24.94,24.06,20.76,20.04,17.34,16.81,14.56,14.2,12.31,12.05,10.47,10.29,8.97,8.83,7.73,7.64,6.7,6.65,5.83,5.81,5.09,5.09,4.48,4.48,3.96,3.96,3.5,3.52,3.11,3.13,2.77,2.8,2.48,2.5,2.23,2.24,2.0,2.02,1.81,1.82,1.63,1.65,1.48,1.5,1.34,1.37,1.22,1.25,1.11,1.14,1.01,1.05,0.92,0.96,0.84,0.89,0.77,0.81,0.71,0.75,0.6,0.64,0.55,0.6,0.51,0.55,0.47,0.51,0.44,0.48,0.41,0.44
27m TTC,50.7,49.38,43.19,41.87,36.25,35.06,30.28,29.2,25.26,24.38,21.08,20.39,17.68,17.14,14.88,14.49,12.62,12.32,10.76,10.56,9.23,9.1,7.97,7.87,6.91,6.85,6.02,5.99,5.27,5.27,4.65,4.65,4.11,4.11,3.64,3.65,3.25,3.26,2.9,2.92,2.6,2.61,2.33,2.34,2.1,2.11,1.9,1.91,1.72,1.73,1.55,1.57,1.41,1.43,1.28,1.31,1.17,1.19,1.06,1.1,0.97,1.01,0.89,0.93,0.82,0.86,0.75,0.79,0.63,0.68,0.58,0.63,0.54,0.58,0.5,0.54,0.46,0.5,0.43,0.47
28m TTC,50.71,49.37,43.28,41.99,36.46,35.26,30.58,29.48,25.58,24.65,21.42,20.69,18.0,17.45,15.21,14.78,12.93,12.6,11.03,10.81,9.48,9.34,8.19,8.1,7.12,7.05,6.21,6.18,5.45,5.44,4.81,4.8,4.26,4.26,3.78,3.79,3.36,3.39,3.01,3.03,2.7,2.72,2.43,2.45,2.19,2.21,1.99,2.0,1.8,1.81,1.63,1.64,1.48,1.5,1.34,1.37,1.22,1.26,1.12,1.15,1.02,1.06,0.94,0.97,0.86,0.9,0.79,0.83,0.67,0.71,0.62,0.66,0.57,0.61,0.53,0.57,0.49,0.53,0.46,0.49
29m TTC,50.7,49.38,43.41,42.08,36.67,35.45,30.83,29.74,25.89,24.91,21.75,20.97,18.31,17.71,15.5,15.05,13.19,12.86,11.3,11.07,9.74,9.57,8.44,8.31,7.32,7.26,6.39,6.36,5.62,5.61,4.97,4.96,4.4,4.4,3.92,3.92,3.49,3.51,3.12,3.15,2.8,2.83,2.53,2.55,2.28,2.3,2.07,2.08,1.88,1.89,1.7,1.72,1.55,1.57,1.41,1.43,1.29,1.31,1.18,1.2,1.08,1.11,0.99,1.02,0.91,0.94,0.83,0.87,0.7,0.75,0.65,0.69,0.6,0.64,0.55,0.6,0.52,0.55,0.48,0.51
30m TTC,50.73,49.34,43.51,42.21,36.87,35.64,31.09,29.96,26.18,25.2,22.05,21.23,18.61,17.99,15.79,15.32,13.48,13.11,11.56,11.31,9.97,9.8,8.65,8.53,7.52,7.44,6.59,6.54,5.8,5.77,5.13,5.11,4.55,4.54,4.05,4.05,3.62,3.62,3.24,3.26,2.92,2.93,2.63,2.64,2.38,2.39,2.15,2.16,1.95,1.97,1.78,1.8,1.62,1.64,1.47,1.5,1.34,1.37,1.23,1.26,1.13,1.16,1.03,1.07,0.95,0.99,0.87,0.91,0.74,0.78,0.68,0.73,0.63,0.67,0.58,0.63,0.54,0.58,0.51,0.54
