,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
11m TTC,48.74,51.41,36.53,38.47,26.5,27.73,18.95,19.52,13.58,13.86,9.92,9.9,7.37,7.19,5.48,5.31,4.25,4.01,3.28,3.07,2.63,2.4,2.1,1.93,1.71,1.55,1.42,1.25,1.16,1.03,0.96,0.82,0.81,0.7,0.69,0.57,0.58,0.47,0.5,0.41,0.43,0.35,0.36,0.29,0.3,0.24,0.25,0.21,0.21,0.18,0.18,0.16,0.16,0.14,0.14,0.12,0.13,0.1,0.12,0.1,0.1,0.09,0.1,0.08,0.09,0.06,0.08,0.06,0.07,0.05,0.06,0.04,0.06,0.04,0.06,0.04,0.05,0.03,0.05,0.03
12m TTC,48.81,51.32,36.9,39.0,27.21,28.51,19.73,20.41,14.35,14.7,10.48,10.66,7.81,7.77,5.93,5.79,4.59,4.38,3.61,3.34,2.85,2.67,2.34,2.15,1.93,1.73,1.59,1.41,1.34,1.16,1.12,0.94,0.96,0.79,0.8,0.65,0.67,0.54,0.56,0.45,0.47,0.4,0.4,0.34,0.34,0.3,0.3,0.26,0.26,0.22,0.22,0.2,0.2,0.17,0.18,0.16,0.16,0.13,0.15,0.12,0.13,0.11,0.12,0.1,0.11,0.08,0.1,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.04,0.05,0.04
13m TTC,48.91,51.22,37.34,39.34,27.97,29.09,20.46,21.05,14.98,15.43,11.12,11.39,8.36,8.41,6.43,6.33,5.04,4.72,3.99,3.65,3.23,2.88,2.61,2.32,2.17,1.88,1.79,1.55,1.5,1.26,1.23,1.05,1.04,0.87,0.88,0.74,0.76,0.62,0.63,0.55,0.53,0.47,0.45,0.42,0.38,0.37,0.33,0.33,0.3,0.29,0.26,0.24,0.23,0.21,0.2,0.18,0.19,0.15,0.17,0.14,0.15,0.13,0.13,0.11,0.12,0.11,0.11,0.1,0.09,0.07,0.08,0.06,0.08,0.06,0.07,0.06,0.06,0.05,0.06,0.05
14m TTC,48.87,51.25,37.87,39.8,28.47,29.8,21.22,21.81,15.64,16.1,11.72,11.92,8.89,8.86,6.89,6.68,5.46,5.13,4.33,3.99,3.49,3.19,2.86,2.53,2.39,2.09,1.99,1.71,1.66,1.42,1.4,1.15,1.2,0.97,0.99,0.83,0.83,0.71,0.7,0.61,0.6,0.53,0.51,0.45,0.44,0.38,0.39,0.34,0.34,0.3,0.3,0.27,0.27,0.23,0.25,0.2,0.21,0.18,0.19,0.15,0.17,0.14,0.15,0.12,0.14,0.1,0.13,0.1,0.11,0.08,0.1,0.07,0.09,0.06,0.08,0.06,0.07,0.06,0.06,0.05
15m TTC,48.98,51.13,38.45,40.02,29.24,30.25,21.75,22.41,16.24,16.71,12.18,12.54,9.42,9.38,7.3,7.18,5.78,5.58,4.63,4.39,3.75,3.49,3.09,2.8,2.57,2.3,2.16,1.88,1.82,1.56,1.56,1.29,1.3,1.09,1.1,0.91,0.93,0.79,0.79,0.67,0.68,0.57,0.56,0.51,0.49,0.44,0.44,0.38,0.39,0.33,0.35,0.29,0.3,0.26,0.26,0.23,0.23,0.21,0.21,0.18,0.19,0.17,0.17,0.14,0.16,0.12,0.15,0.11,0.12,0.09,0.1,0.08,0.1,0.07,0.08,0.07,0.08,0.06,0.07,0.06
16m TTC,48.95,51.15,38.57,40.3,29.75,30.77,22.38,23.15,16.88,17.38,12.82,13.11,9.86,9.91,7.7,7.65,6.14,5.98,4.95,4.71,4.03,3.74,3.29,3.05,2.73,2.52,2.29,2.08,1.95,1.7,1.64,1.43,1.4,1.21,1.21,1.03,1.01,0.88,0.86,0.76,0.73,0.67,0.64,0.58,0.55,0.52,0.47,0.46,0.41,0.41,0.37,0.36,0.32,0.32,0.29,0.27,0.27,0.24,0.25,0.21,0.23,0.19,0.2,0.16,0.18,0.15,0.17,0.14,0.14,0.11,0.12,0.1,0.11,0.09,0.09,0.08,0.08,0.08,0.07,0.07
17m TTC,49.0,51.11,38.89,40.74,30.03,31.4,22.97,23.72,17.48,17.88,13.33,13.58,10.3,10.34,8.13,8.03,6.46,6.36,5.23,5.04,4.25,4.07,3.53,3.3,2.96,2.7,2.47,2.22,2.1,1.83,1.79,1.56,1.51,1.32,1.33,1.15,1.13,1.01,0.98,0.88,0.85,0.76,0.73,0.67,0.63,0.59,0.54,0.51,0.46,0.45,0.4,0.41,0.37,0.36,0.32,0.31,0.29,0.28,0.27,0.25,0.24,0.21,0.21,0.2,0.19,0.17,0.17,0.15,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.07
18m TTC,49.23,50.87,39.19,40.84,30.57,31.69,23.53,24.11,18.05,18.31,13.82,13.94,10.79,10.8,8.56,8.47,6.79,6.64,5.53,5.35,4.51,4.32,3.74,3.53,3.15,2.87,2.69,2.37,2.27,2.02,1.94,1.72,1.67,1.45,1.44,1.25,1.24,1.08,1.08,0.94,0.93,0.83,0.8,0.73,0.69,0.64,0.61,0.56,0.54,0.49,0.48,0.44,0.42,0.4,0.37,0.36,0.33,0.32,0.29,0.28,0.26,0.24,0.23,0.22,0.21,0.2,0.18,0.17,0.16,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09
19m TTC,49.15,50.96,39.54,41.05,30.94,32.01,23.96,24.61,18.44,18.82,14.3,14.39,11.18,11.17,8.84,8.81,7.15,6.98,5.82,5.6,4.79,4.56,3.95,3.75,3.33,3.1,2.83,2.58,2.37,2.16,2.07,1.86,1.79,1.58,1.56,1.36,1.33,1.17,1.15,1.0,1.0,0.89,0.88,0.79,0.78,0.69,0.7,0.61,0.62,0.53,0.54,0.48,0.46,0.43,0.42,0.38,0.37,0.35,0.33,0.3,0.29,0.28,0.25,0.25,0.23,0.22,0.2,0.2,0.16,0.16,0.15,0.15,0.14,0.14,0.12,0.12,0.11,0.11,0.11,0.1
20m TTC,49.06,51.04,39.53,41.23,31.21,32.45,24.34,25.01,18.95,19.17,14.9,14.85,11.69,11.54,9.27,9.11,7.48,7.31,6.11,5.87,5.0,4.78,4.18,3.93,3.51,3.26,2.94,2.71,2.52,2.3,2.2,1.95,1.89,1.67,1.65,1.44,1.43,1.26,1.25,1.09,1.1,0.95,0.97,0.82,0.85,0.73,0.75,0.64,0.65,0.57,0.58,0.51,0.53,0.46,0.47,0.41,0.41,0.37,0.35,0.34,0.32,0.3,0.28,0.28,0.24,0.25,0.22,0.23,0.18,0.19,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12
