,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
38m TTC,50.59,49.42,42.15,40.99,34.69,33.47,28.39,27.22,23.23,22.19,19.04,18.2,15.71,15.03,13.04,12.52,10.9,10.49,9.19,8.87,7.82,7.55,6.7,6.48,5.78,5.6,5.02,4.87,4.39,4.27,3.85,3.76,3.4,3.33,3.01,2.96,2.68,2.64,2.39,2.36,2.14,2.12,1.92,1.9,1.74,1.71,1.57,1.55,1.42,1.4,1.29,1.27,1.16,1.15,1.06,1.05,0.96,0.95,0.88,0.87,0.8,0.8,0.73,0.73,0.67,0.67,0.62,0.62,0.52,0.52,0.48,0.48,0.44,0.45,0.41,0.41,0.38,0.38,0.35,0.35
39m TTC,50.58,49.42,42.27,41.08,34.85,33.64,28.61,27.42,23.47,22.42,19.28,18.4,15.95,15.24,13.25,12.72,11.1,10.67,9.38,9.03,7.98,7.71,6.85,6.63,5.91,5.72,5.14,5.0,4.49,4.38,3.95,3.85,3.48,3.42,3.09,3.04,2.75,2.72,2.46,2.43,2.21,2.18,1.99,1.96,1.79,1.77,1.62,1.59,1.47,1.44,1.33,1.31,1.21,1.19,1.09,1.08,0.99,0.99,0.91,0.9,0.83,0.83,0.76,0.76,0.69,0.7,0.64,0.64,0.54,0.54,0.5,0.5,0.46,0.46,0.42,0.43,0.39,0.4,0.36,0.37
40m TTC,50.59,49.41,42.38,41.16,35.01,33.77,28.81,27.6,23.69,22.62,19.54,18.62,16.16,15.43,13.46,12.9,11.3,10.85,9.55,9.19,8.15,7.86,7.0,6.78,6.06,5.87,5.26,5.11,4.61,4.48,4.04,3.95,3.58,3.5,3.17,3.12,2.83,2.79,2.52,2.5,2.26,2.24,2.05,2.01,1.85,1.82,1.67,1.64,1.52,1.49,1.38,1.35,1.25,1.22,1.13,1.12,1.03,1.02,0.94,0.93,0.86,0.86,0.78,0.79,0.72,0.72,0.66,0.67,0.56,0.56,0.51,0.52,0.47,0.48,0.44,0.44,0.41,0.41,0.38,0.38
41m TTC,50.58,49.42,42.46,41.25,35.2,33.91,29.03,27.79,23.92,22.82,19.77,18.83,16.39,15.63,13.67,13.07,11.5,11.02,9.74,9.35,8.31,8.0,7.14,6.91,6.18,6.0,5.38,5.23,4.71,4.59,4.14,4.05,3.66,3.59,3.25,3.19,2.9,2.85,2.59,2.55,2.33,2.3,2.1,2.07,1.9,1.86,1.72,1.69,1.57,1.53,1.42,1.39,1.29,1.26,1.17,1.15,1.06,1.05,0.97,0.97,0.89,0.89,0.81,0.81,0.74,0.75,0.69,0.69,0.58,0.58,0.53,0.54,0.49,0.5,0.45,0.46,0.42,0.43,0.39,0.4
42m TTC,50.6,49.41,42.57,41.33,35.36,34.06,29.24,27.97,24.16,23.02,19.98,19.02,16.6,15.83,13.87,13.27,11.69,11.2,9.91,9.52,8.47,8.15,7.28,7.03,6.31,6.11,5.5,5.35,4.81,4.7,4.23,4.15,3.75,3.68,3.33,3.28,2.97,2.92,2.66,2.62,2.4,2.36,2.16,2.12,1.96,1.92,1.77,1.74,1.61,1.57,1.46,1.43,1.32,1.3,1.21,1.19,1.1,1.09,1.01,1.0,0.92,0.91,0.84,0.84,0.77,0.77,0.71,0.71,0.6,0.6,0.55,0.56,0.51,0.52,0.47,0.48,0.43,0.44,0.4,0.41
43m TTC,50.61,49.39,42.66,41.41,35.53,34.21,29.43,28.14,24.38,23.21,20.2,19.22,16.82,16.02,14.08,13.45,11.88,11.38,10.09,9.68,8.62,8.29,7.42,7.17,6.43,6.23,5.61,5.46,4.91,4.79,4.33,4.24,3.84,3.77,3.41,3.35,3.05,3.0,2.73,2.68,2.46,2.41,2.22,2.18,2.0,1.97,1.82,1.78,1.65,1.62,1.5,1.47,1.37,1.34,1.24,1.22,1.13,1.12,1.04,1.02,0.95,0.94,0.87,0.87,0.8,0.8,0.74,0.74,0.62,0.63,0.57,0.58,0.53,0.54,0.48,0.5,0.45,0.46,0.42,0.43
44m TTC,50.62,49.38,42.76,41.49,35.69,34.35,29.63,28.31,24.58,23.39,20.42,19.41,17.04,16.21,14.28,13.63,12.05,11.54,10.26,9.82,8.77,8.43,7.55,7.3,6.56,6.35,5.72,5.56,5.01,4.9,4.43,4.33,3.92,3.84,3.5,3.43,3.13,3.07,2.81,2.75,2.52,2.47,2.27,2.24,2.05,2.02,1.87,1.84,1.7,1.66,1.55,1.51,1.41,1.38,1.28,1.26,1.17,1.15,1.07,1.06,0.98,0.97,0.9,0.89,0.83,0.82,0.76,0.76,0.64,0.65,0.59,0.6,0.54,0.55,0.5,0.51,0.46,0.48,0.43,0.44
45m TTC,50.63,49.38,42.84,41.57,35.84,34.5,29.82,28.49,24.77,23.58,20.63,19.6,17.24,16.38,14.47,13.8,12.25,11.7,10.42,9.98,8.92,8.57,7.69,7.42,6.68,6.47,5.83,5.66,5.12,4.99,4.51,4.41,4.01,3.93,3.58,3.5,3.2,3.14,2.87,2.82,2.58,2.54,2.33,2.29,2.11,2.07,1.91,1.88,1.74,1.71,1.59,1.55,1.44,1.42,1.32,1.29,1.21,1.18,1.1,1.08,1.01,1.0,0.93,0.92,0.85,0.85,0.78,0.78,0.67,0.67,0.61,0.61,0.56,0.57,0.52,0.53,0.48,0.49,0.44,0.46
46m TTC,50.62,49.39,42.93,41.65,35.99,34.64,30.03,28.67,24.98,23.73,20.83,19.77,17.44,16.55,14.68,13.96,12.42,11.87,10.59,10.14,9.08,8.72,7.83,7.55,6.81,6.57,5.95,5.76,5.22,5.08,4.61,4.51,4.09,4.01,3.65,3.58,3.27,3.21,2.94,2.88,2.65,2.59,2.39,2.35,2.16,2.13,1.96,1.92,1.79,1.75,1.63,1.6,1.48,1.46,1.35,1.33,1.24,1.22,1.14,1.12,1.04,1.03,0.95,0.94,0.88,0.87,0.8,0.8,0.69,0.69,0.63,0.63,0.58,0.59,0.54,0.55,0.5,0.51,0.46,0.47
47m TTC,50.64,49.36,43.0,41.73,36.14,34.79,30.21,28.83,25.18,23.94,21.04,19.95,17.64,16.74,14.87,14.14,12.6,12.02,10.74,10.29,9.23,8.86,7.96,7.67,6.93,6.69,6.06,5.87,5.33,5.18,4.71,4.6,4.19,4.09,3.74,3.65,3.35,3.27,3.01,2.94,2.71,2.66,2.44,2.4,2.21,2.18,2.01,1.98,1.83,1.8,1.66,1.64,1.52,1.5,1.39,1.37,1.27,1.25,1.17,1.15,1.07,1.05,0.98,0.97,0.9,0.89,0.83,0.83,0.71,0.71,0.65,0.65,0.6,0.61,0.56,0.56,0.52,0.52,0.48,0.48
